Giá tr? ADC low pass,Giá tr? ADC trung bình,Góc kh?y tay
908.69,909,153.87
910.71,918,153.4
995.9,1023,145.7
958.5,909,153.39
913.18,909,153.73
909.37,905,153.82
909.68,911,153.73
909.33,909,153.85
909.15,911,153.75
912.76,924,152.92
992.79,1023,145.82
1067.66,1092,140.91
1096.82,1100,140.41
1112.56,1130,138.32
1172.64,1191,133.73
1228.22,1252,129.8
1290.74,1311,125.39
1350.77,1382,120.86
1426.96,1451,115.49
1485.59,1510,111.75
1532.85,1545,108.85
1575.77,1593,105.88
1631.78,1647,101.63
1693.6,1727,96.79
1763.31,1781,92.41
1783.79,1791,91.65
1836.79,1855,87.17
1889.81,1914,83.61
1940.46,1958,79.68
1979.49,1995,77.37
2021.35,2038,74.74
2063.44,2083,71.04
2114.01,2131,67.92
2146.75,2159,65.87
2184.88,2195,63.08
2218.14,2236,60.61
2267.91,2279,57.08
2304,2329,54.21
2351.18,2363,51.4
2384.01,2399,48.82
2429.39,2440,45.77
2470.14,2486,42.8
2512.26,2526,39.93
2539.59,2548,38.46
2580.87,2596,35.18
2612.86,2631,32.81
2657.9,2671,29.98
2685.44,2693,27.89
2723.42,2735,25.16
2750.56,2770,23.06
2786.21,2786,20.68
2802.34,2812,19.96
2819.38,2826,18.82
2850.14,2868,16.15
2881.18,2894,14.18
2916.96,2927,11.74
2944.25,2956,9.62
2978,3000,7.08
3032.98,3045,3.01
3075.49,3095,0.09
3134.2,3155,-4.58
3208.06,3239,-9.94
3249.82,3261,-11.54
3253.81,3260,-11.41
3253.49,3255,-11.4
3253.49,3243,-11.07
3255.46,3247,-11.46
3255.08,3256,-11.43
3254.73,3260,-11.39
3255.69,3254,-11.53
3221.64,3199,-7.43
3154.21,3126,-2.62
3072.32,3055,2.85
2999.75,2970,8.6
2937.43,2924,12.11
2883.13,2868,15.89
2817.81,2799,20.63
2735.4,2687,27.97
2588.71,2534,39.25
2438.08,2357,50.69
2177.43,2093,71.26
1894.39,1754,93.05
1480.55,1352,123.09
1204.68,1100,139.37
984.93,936,152.04
914.59,906,154.15
905.83,905,154.08
904.99,906,154.07
904.51,903,154.11
904.36,903,154.11
904.4,906,154.1
905.08,906,154.03
904.36,904,154.15
904.14,905,154.18
903.09,902,154.22
904.43,906,154.1
904.1,904,154.21
904.06,905,154.23
904.03,905,154.09
904.46,904,154.06
