Th?i gia,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z
200,0.02,0.01,0.95,0.05,0.02,1.01
400,0.03,0.02,0.96,0.05,0.02,1
600,0.02,0.01,0.95,0.05,0.03,1.01
800,0.02,0.02,0.95,0.05,0.02,1
1000,0.02,0.01,0.94,0.05,0.03,1.01
1200,0.02,0.02,0.96,0.04,0.02,1
1400,0.02,0.02,0.95,0.04,0.03,1.01
1600,0.01,0.02,0.95,0.06,0.03,1
1800,0.02,0.02,0.96,0.05,0.02,1.01
2000,0.02,0.02,0.95,0.05,0.02,1.01
2200,0.02,0.02,0.95,0.05,0.03,1.01
2400,0.02,0.02,0.95,0.05,0.02,1.01
2600,0.02,0.02,0.96,0.05,0.03,1
2800,0.02,0.02,0.96,0.05,0.03,1.01
3000,0.02,0.02,0.95,0.05,0.02,1
3200,0.02,0.02,0.95,0.05,0.03,1.01
3400,0.02,0.01,0.95,0.05,0.02,1.01
3600,0.02,0.02,0.95,0.05,0.03,1
3800,0.03,0.02,0.96,0.05,0.03,1.01
4000,0.02,0.02,0.96,0.05,0.02,1
4200,0.02,0.02,0.95,0.05,0.02,1.01
4400,0.02,0.02,0.95,0.05,0.02,1.01
4600,0.02,0.02,0.95,0.04,0.02,1.01
4800,0.02,0.02,0.95,0.05,0.02,1
5000,0.02,0.02,0.95,0.05,0.02,1.01
5200,0.02,0.02,0.96,0.05,0.03,1.01
5400,0.01,0.01,0.95,0.05,0.02,1
5600,0.01,0.02,0.95,0.05,0.02,1.01
5800,0.02,0.01,0.95,0.05,0.03,1.02
6000,0.02,0.02,0.96,0.05,0.03,1.01
6200,0.02,0.02,0.96,0.05,0.02,1
6400,0.02,0.02,0.96,0.05,0.03,1.01
6600,0.02,0.02,0.96,0.05,0.02,1.01
6800,0.02,0.02,0.96,0.06,0.03,1
7000,0.02,0.02,0.97,0.04,0.02,1
7200,0.02,0.02,0.95,0.05,0.02,1.01
7400,0.02,0.01,0.96,0.05,0.03,1
7600,0.02,0.02,0.95,0.05,0.02,1.01
7800,0.01,0.02,0.95,0.05,0.02,1.01
8000,0.02,0.02,0.95,0.06,0.03,1
8200,0.02,0.02,0.96,0.05,0.03,1.01
8400,0.02,0.02,0.96,0.05,0.02,1
8600,0.02,0.02,0.96,0.05,0.02,1.01
8800,0.01,0.01,0.96,0.05,0.03,1
9000,0.02,0.01,0.96,0.05,0.03,1.01
9200,0.02,0.02,0.95,0.05,0.03,1.01
9400,0.02,0.02,0.95,0.05,0.02,1.01
9600,0.02,0.01,0.95,0.05,0.03,1.01
9800,0.02,0.02,0.95,0.05,0.03,1.01
10000,0.02,0.02,0.95,0.05,0.02,1.01
10200,0.02,0.02,0.95,0.05,0.03,1.01
10400,0.02,0.03,0.96,0.05,0.02,1.01
10600,0.02,0.02,0.95,0.05,0.02,1
10800,0.02,0.02,0.96,0.05,0.02,1.01
11000,0.02,0.02,0.96,0.05,0.02,1
11200,0.02,0.02,0.94,0.05,0.03,1.01
11400,0.02,0.02,0.96,0.05,0.02,1.01
11600,0.01,0.02,0.95,0.05,0.03,1.01
11800,0.01,0.02,0.95,0.05,0.02,1.02
12000,0.01,0.03,0.95,0.05,0.03,1
12200,0.02,0.02,0.96,0.04,0.02,1
12400,0.01,0.02,0.96,0.04,0.02,1.01
12600,0.02,0.02,0.95,0.05,0.02,1.01
12800,0.02,0.02,0.96,0.05,0.03,1.01
13000,0.03,0.01,0.96,0.05,0.02,1.01
13200,0.02,0.02,0.95,0.05,0.03,1.01
13400,0.02,0,0.95,0.05,0.03,1
13600,-0.03,0.01,0.99,0.05,0.02,1
13800,0.02,0.02,0.95,0.05,0.03,1
14000,0.02,0.02,0.96,0.05,0.03,1
14200,0.02,0.02,0.95,0.05,0.02,1
14400,0.01,0.01,0.96,0.05,0.02,1.02
14600,0.02,0.01,0.95,0.05,0.02,1.01
14800,0.02,0.01,0.96,0.05,0.02,1
15000,0.02,0.01,0.96,0.05,0.03,1
15200,0.02,0.01,0.95,0.05,0.03,1.01
15400,0.02,0.01,0.96,0.05,0.03,1
15600,0.02,0.02,0.96,0.05,0.03,1.01
15800,0.01,0.02,0.96,0.05,0.03,1
16000,0.02,0.01,0.95,0.05,0.03,1.01
16200,0.02,0.01,0.96,0.05,0.03,1
16400,0.01,0.01,0.95,0.04,0.02,1
16600,0.02,0.02,0.96,0.06,0.02,1
16800,0.02,0.02,0.95,0.05,0.04,1
17000,0.02,0.01,0.95,0.05,0.03,1
17200,0.03,0.02,0.95,0.04,0.02,1.01
17400,0.02,0.02,0.95,0.06,0.02,1
17600,0.02,0.02,0.95,0.04,0.03,1.01
17800,0.02,0.01,0.96,0.05,0.03,1
18000,0.02,0.01,0.95,0.05,0.02,1
18200,0.02,0.02,0.95,0.05,0.02,1
18400,0.02,0.02,0.96,0.04,0.02,1
18600,0.02,0.02,0.95,0.05,0.02,1.01
18800,0.02,0.02,0.95,0.04,0.03,1.01
19000,0.02,0.02,0.96,0.04,0.03,1.01
19200,0.01,0.02,0.94,0.05,0.03,1
19400,0.02,0.02,0.95,0.05,0.03,1
19600,0.02,0.02,0.94,0.05,0.03,1
19800,0.02,0.02,0.95,0.04,0.03,1.01
20000,0.02,0.02,0.96,0.06,0.02,1
20200,0.02,0.02,0.95,0.05,0.02,1
20400,0.01,0.02,0.96,0.05,0.03,1.01
20600,0.02,0.02,0.96,0.05,0.02,1
20800,0.01,0.02,0.95,0.05,0.03,1.01
21000,0.02,0.02,0.95,0.05,0.02,1.01
21200,0.02,0.02,0.95,0.05,0.03,1.02
21400,0.02,0.02,0.96,0.05,0.03,1.01
21600,0.02,0.02,0.95,0.05,0.02,1.01
21800,0.02,0.02,0.95,0.05,0.03,1.01
22000,0.03,0.02,0.96,0.04,0.03,1.01
22200,0.02,0.02,0.96,0.05,0.03,1
22400,0.03,0.02,0.95,0.06,0.03,1
22600,0.02,0.02,0.94,0.05,0.03,1.01
22800,0.02,0.02,0.94,0.05,0.02,1
23000,0.01,0.02,0.95,0.04,0.02,1.01
23200,0.02,0.02,0.95,0.05,0.03,1
23400,0.02,0.02,0.95,0.05,0.02,1.01
23600,0.02,0.02,0.96,0.05,0.03,1.01
23800,0.01,0.02,0.95,0.05,0.03,1.01
24000,0.02,0.02,0.95,0.05,0.02,1.01
24200,0.02,0.02,0.96,0.05,0.03,1.02
24400,0.02,0.02,0.95,0.05,0.03,1.02
24600,0.03,0.03,0.95,0.06,0.03,1.01
24800,0.02,0.03,0.95,0.06,0.02,1
25000,0.03,0.02,0.96,0.05,0.03,1
25200,0.02,0.02,0.95,0.05,0.02,1
25400,0.02,0.02,0.95,0.05,0.03,1.01
25600,0.02,0.02,0.96,0.04,0.02,1.01
25800,0.02,0.01,0.96,0.05,0.02,1
26000,0.02,0.02,0.96,0.04,0.03,1.01
26200,0.02,0.02,0.96,0.04,0.02,1.01
26400,0.02,0.02,0.95,0.05,0.03,1
26600,0.01,0.02,0.95,0.05,0.02,1.01
26800,0.02,0.02,0.95,0.05,0.03,1.01
27000,0.02,0.02,0.95,0.05,0.03,1
27200,0.02,0.02,0.96,0.05,0.03,1.01
27400,0.03,0.03,0.95,0.05,0.02,1.01
27600,0.02,0.02,0.95,0.05,0.02,1
27800,0.02,0.02,0.94,0.05,0.02,1
28000,0.02,0.02,0.96,0.05,0.03,1.01
28200,0.02,0.02,0.94,0.05,0.02,1
28400,0.02,0.02,0.95,0.05,0.03,0.99
28600,0.02,0.02,0.96,0.05,0.02,1.01
28800,0.02,0.02,0.95,0.05,0.03,1.01
29000,0.02,0.02,0.95,0.05,0.02,1
29200,0.02,0.02,0.95,0.05,0.03,1.01
29400,0.01,0.02,0.95,0.05,0.03,1.01
29600,0.02,0.02,0.95,0.05,0.03,1
29800,0.02,0.02,0.96,0.05,0.02,1
30000,0.02,0.02,0.95,0.05,0.03,1
30200,0.02,0.02,0.95,0.05,0.03,1
30400,0.02,0.02,0.97,0.05,0.02,1.01
30600,0.02,0.02,0.96,0.05,0.02,1.01
30800,0.02,0.02,0.96,0.05,0.03,1.01
31000,0.02,0.02,0.96,0.05,0.02,1.01
31200,0.02,0.02,0.95,0.05,0.03,1
31400,0.02,0.02,0.96,0.05,0.03,1
31600,0.02,0.02,0.95,0.05,0.03,1.01
31800,0.02,0.02,0.96,0.05,0.03,1
32000,0.02,0.02,0.96,0.05,0.02,1
32200,0.02,0.02,0.95,0.05,0.03,1
32400,0.02,0.01,0.96,0.05,0.02,1.01
32600,0.02,0.01,0.96,0.05,0.03,1
32800,0.02,0.02,0.95,0.04,0.02,1.01
33000,0.01,0.02,0.95,0.04,0.03,1.01
33200,0.03,0.02,0.95,0.05,0.03,1.01
33400,0.01,0.02,0.95,0.05,0.03,1.01
33600,0.02,0.02,0.95,0.05,0.02,1.01
33800,0.02,0.02,0.95,0.05,0.03,1.01
34000,0.02,0.02,0.95,0.05,0.03,1
34200,0.03,0.02,0.96,0.05,0.03,1.01
34400,0.02,0.02,0.95,0.05,0.03,1.01
34600,0.03,0.03,0.95,0.05,0.02,1
34800,0.03,0.02,0.95,0.05,0.03,1.01
35000,0.01,0.01,0.95,0.05,0.02,1.01
35200,0.01,0.01,0.95,0.04,0.02,1
35400,0.02,0.02,0.95,0.05,0.02,1.01
35600,0.02,0.03,0.96,0.05,0.02,1.01
35800,0.02,0.02,0.95,0.05,0.03,1.01
36000,0.02,0.02,0.94,0.05,0.02,1.01
36200,0.03,0.01,0.95,0.05,0.02,1
36400,0.02,0.02,0.95,0.05,0.03,1.01
36600,0.02,0.02,0.96,0.05,0.03,1
36800,0.02,0.02,0.95,0.05,0.02,1.01
37000,0.01,0.03,0.96,0.05,0.03,1.01
37200,0.02,0.01,0.95,0.05,0.03,1
37400,0.02,0.01,0.94,0.04,0.02,1.01
37600,0.02,0.02,0.95,0.05,0.03,1.01
37800,0.01,0.02,0.96,0.05,0.02,1
38000,0.03,0.02,0.95,0.05,0.02,1
38200,0.02,0.02,0.95,0.05,0.03,1
38400,0.02,0.02,0.95,0.05,0.02,1
38600,0.02,0.02,0.95,0.05,0.03,1
38800,0.02,0.02,0.95,0.05,0.03,1.01
39000,0.02,0.01,0.95,0.04,0.02,1.02
39200,0.03,0.02,0.95,0.06,0.02,1.01
39400,0.02,0.02,0.95,0.04,0.02,1.01
39600,0.02,0.03,0.95,0.05,0.02,1.01
39800,0.01,0.02,0.96,0.05,0.03,1
40000,0.02,0.02,0.96,0.04,0.02,1.01
40200,0.01,0.02,0.96,0.05,0.02,1
40400,0.02,0.01,0.94,0.05,0.03,1.01
40600,0.02,0.02,0.96,0.04,0.03,1.01
40800,0.02,0.01,0.94,0.05,0.02,1.01
41000,0.02,0.03,0.96,0.05,0.03,1
41200,0.01,0.01,0.95,0.05,0.03,1.01
41400,0.02,0.03,0.96,0.05,0.03,0.99
41600,0.01,0.01,0.94,0.05,0.03,1.01
41800,0.05,0.03,0.95,0.05,0.02,1.01
42000,0.01,0.01,0.95,0.05,0.02,1.01
42200,0.02,0.02,0.95,0.05,0.02,1
42400,0,0.02,0.95,0.05,0.02,1
42600,0.02,0.01,0.96,0.05,0.02,1.01
42800,0.01,0.02,0.95,0.05,0.03,1.01
43000,0.02,0.02,0.95,0.04,0.03,1.01
43200,0.02,0.02,0.96,0.05,0.03,1.01
43400,0.02,0.02,0.96,0.05,0.02,1
43600,0.01,0.02,0.95,0.04,0.03,1.01
43800,0.02,0.02,0.95,0.05,0.03,1.01
44000,0.02,0.02,0.95,0.05,0.02,1
44200,0.01,0.02,0.96,0.05,0.02,1
44400,0.02,0.02,0.95,0.05,0.03,0.99
44600,0.02,0.02,0.95,0.04,0.03,1
44800,0.02,0.02,0.94,0.05,0.02,1.01
45000,0.03,0.02,0.96,0.05,0.02,1
45200,0.02,0.01,0.95,0.05,0.03,1.01
45400,0.02,0.02,0.95,0.05,0.03,1
45600,0.02,0.02,0.95,0.05,0.02,1
45800,0.01,0.03,0.95,0.05,0.02,1
46000,0.01,0.02,0.95,0.05,0.03,1.01
46200,0.02,0.02,0.95,0.05,0.03,1
46400,0.02,0.02,0.95,0.05,0.03,1.01
46600,0.02,0.02,0.96,0.05,0.03,1.01
46800,0.02,0.01,0.96,0.05,0.03,1
47000,0.02,0.02,0.95,0.05,0.03,1.01
47200,0.02,0.02,0.95,0.05,0.03,1.01
47400,0.02,0.01,0.95,0.05,0.02,1
47600,0.02,0.01,0.96,0.05,0.02,1.01
47800,0.02,0.02,0.95,0.06,0.02,1.01
48000,0.01,0.01,0.95,0.04,0.03,1.01
48200,0.01,0.02,0.96,0.05,0.03,1.01
48400,0.02,0.03,0.95,0.05,0.02,1
48600,0.01,0.02,0.95,0.05,0.03,1
48800,0.02,0.03,0.95,0.05,0.03,1
49000,0.02,0.02,0.96,0.05,0.03,1
49200,0.02,0.02,0.94,0.05,0.03,1
49400,0.02,0.02,0.96,0.05,0.03,1
49600,0.02,0.02,0.96,0.05,0.02,1
49800,0.02,0.02,0.95,0.05,0.02,1.01
50000,0.02,0.01,0.95,0.05,0.03,1
50200,0.02,0.03,0.95,0.05,0.02,1
50400,0.02,0.02,0.95,0.05,0.02,1.01
50600,0.02,0.02,0.95,0.05,0.03,1
50800,0.02,0.02,0.95,0.06,0.02,1.01
51000,0.02,0.03,0.96,0.05,0.02,1
51200,0.02,0.02,0.95,0.05,0.03,1
51400,0.02,0.01,0.95,0.04,0.02,1.01
51600,0.03,0.01,0.95,0.05,0.03,1
51800,0.02,0.02,0.96,0.05,0.03,1.01
52000,0.02,0.02,0.95,0.05,0.02,1.01
52200,0.02,0.02,0.95,0.05,0.03,1.01
52400,0.02,0.02,0.95,0.05,0.03,1
52600,0.01,0.01,0.95,0.05,0.03,1
52800,0.02,0.02,0.94,0.04,0.03,1.01
53000,0.02,0.02,0.96,0.05,0.03,1.01
53200,0.02,0.02,0.95,0.05,0.03,1
53400,0.01,0.02,0.95,0.06,0.02,1.01
53600,0.02,0.02,0.96,0.04,0.02,1
53800,0.01,0.02,0.95,0.04,0.02,1.02
54000,0.02,0.02,0.94,0.05,0.02,1.01
54200,0.02,0.02,0.95,0.05,0.02,0.99
54400,0.02,0.02,0.96,0.05,0.02,1.01
54600,0.02,0.02,0.96,0.05,0.02,1.02
54800,0.01,0.01,0.95,0.05,0.02,1
55000,0.02,0.01,0.96,0.05,0.02,1.01
55200,0.02,0.02,0.94,0.05,0.02,1
55400,0.02,0.02,0.94,0.05,0.02,1.01
